,index,teff_2,logg_2,feh_2,alpha_1,npix_1,rv,gamma,chi2_1,arbnorm_1,alpha_2,npix_2,chi2_2,arbnorm_2,alpha_3,npix_3,chi2_3,arbnorm_3,alpha_4,npix_4,chi2_4,arbnorm_4,coadd_chi2,coadd_npix,teff_1,logg_1,feh_1
0,1525,4900,5.0,0.0,0.2612,1024,100.0,0.0,2597.4151,1.0,0.2621,1024,1333.8666,1.0,0.2622,1024,804.4882,1.0,0.2656,972,12578.3162,1.0,4.284604330611235,4044,5200.0,4.5,0.0
1,1517,4900,5.0,0.0,0.2612,1024,99.5,0.0,2625.6244,1.0,0.2621,1024,1339.7476,1.0,0.2622,1024,811.2365,1.0,0.2656,972,12566.2184,1.0,4.291716629547142,4044,5200.0,4.5,0.0
2,1533,4900,5.0,0.0,0.2612,1024,100.5,0.0,2609.0021,1.0,0.2621,1024,1363.2846,1.0,0.2622,1024,808.1197,1.0,0.2656,972,12593.2873,1.0,4.299355035882208,4044,5200.0,4.5,0.0
3,1509,4900,5.0,0.0,0.2612,1024,99.0,0.0,2658.5626,1.0,0.2621,1024,1377.0921,1.0,0.2622,1024,827.7639,1.0,0.2656,972,12546.6322,1.0,4.308352091066568,4044,5200.0,4.5,0.0
4,1357,4800,5.0,0.0,0.2446,1024,99.5,0.0,2627.1838,1.0,0.2455,1024,1494.0689,1.0,0.2456,1024,842.4348,1.0,0.2489,972,12493.0243,1.0,4.319898985399653,4044,5200.0,4.5,0.0
5,1365,4800,5.0,0.0,0.2446,1024,100.0,0.0,2607.9699,1.0,0.2455,1024,1487.8992,1.0,0.2456,1024,836.3011,1.0,0.2489,972,12530.9439,1.0,4.321483320960158,4044,5200.0,4.5,0.0
6,1373,4800,5.0,0.0,0.2446,1024,100.5,0.0,2597.3195,1.0,0.2455,1024,1522.6828,1.0,0.2456,1024,839.3939999999999,1.0,0.2489,972,12557.8302,1.0,4.3348741648106905,4044,5200.0,4.5,0.0
7,1349,4800,5.0,0.0,0.2446,1024,99.0,0.0,2648.8402,1.0,0.2455,1024,1524.9265,1.0,0.2456,1024,857.9586,1.0,0.2489,972,12500.3408,1.0,4.338546424152438,4044,5200.0,4.5,0.0
8,1685,5000,5.0,0.0,0.2784,1024,100.0,0.0,2648.7525,1.0,0.2793,1024,1269.7978,1.0,0.2794,1024,790.4945,1.0,0.2828,972,12827.4035,1.0,4.339630858698342,4044,5200.0,4.5,0.0
9,1541,4900,5.0,0.0,0.2612,1024,101.0,0.0,2665.2473,1.0,0.2621,1024,1439.4342,1.0,0.2622,1024,820.8837,1.0,0.2656,972,12640.3684,1.0,4.346927394209354,4044,5200.0,4.5,0.0
